Parameter,Value
ROI voxel count,2549
ROI volume (mm^3),61723.554067611694
Min intensity,5.059829235076904
Max intensity,2222.52999150753
Mean intensity,169.89135928909747
Median intensity,93.60684084892273
Std intensity,234.8537489975517
25th percentile,50.59829235076904
75th percentile,178.35898053646088
IQR,127.76068818569183
Skewness,3.834872897062957
Kurtosis,19.005259581569618
Entropy,2.2129227618767207
